selection,crossover,mutation,survival,error,generations,seconds
tournament_deterministic,uniform,multigene,additive,0.07984793565933229,5000,74.81956761423498
tournament_deterministic,uniform,multigene,exclusive,0.08455194615107764,5000,73.90217502322048
tournament_deterministic,uniform,non_uniform,additive,0.09102960437791702,5000,75.04947047121823
tournament_deterministic,uniform,non_uniform,exclusive,0.07600030008200576,5000,73.99747538659722
tournament_deterministic,uniform,triangle,additive,0.07995677108682846,5000,109.84312144760042
tournament_deterministic,uniform,triangle,exclusive,0.0679129315495809,5000,109.21025281120092
tournament_deterministic,region,gene,additive,0.09661525890399791,5000,77.3286222955212
tournament_deterministic,region,gene,exclusive,0.09765219099239003,5000,76.28463263157755
tournament_deterministic,region,multigene,additive,0.07396161717133198,5000,80.3576431311667
tournament_deterministic,region,multigene,exclusive,0.0857644788203457,5000,79.402158674784
tournament_deterministic,region,non_uniform,additive,0.07595345192308367,5000,84.80164257250726
tournament_deterministic,region,non_uniform,exclusive,0.08572318084973567,5000,82.4123958805576
tournament_deterministic,region,triangle,additive,0.07142904834466504,5000,125.55737727414817
tournament_deterministic,region,triangle,exclusive,0.07835254256304072,5000,119.3039522273466
roulette,one_point,gene,additive,0.10839109959850936,5000,64.63570454996079
roulette,one_point,gene,exclusive,0.15088307171626225,5000,63.75658156629652
roulette,one_point,multigene,additive,0.09356743235168816,5000,68.67450337763876
roulette,one_point,multigene,exclusive,0.13710836273549667,5000,75.01285707764328
roulette,one_point,non_uniform,additive,0.08981603742150852,5000,67.35226336307824
roulette,one_point,non_uniform,exclusive,0.1253152312040064,5000,67.52162172459066
roulette,one_point,triangle,additive,0.0758830600001937,5000,116.04874810483307
roulette,one_point,triangle,exclusive,0.1370231632364181,5000,112.42347036208957
roulette,two_point,gene,additive,0.10329536485325472,5000,67.04871755093336
roulette,two_point,gene,exclusive,0.14573444968078092,5000,68.65203284844756
roulette,two_point,multigene,additive,0.07853962204101332,5000,79.77637691609561
roulette,two_point,multigene,exclusive,0.12724707767934834,5000,78.43529536295682
roulette,two_point,non_uniform,additive,0.09091306074834708,5000,76.35908478777856
roulette,two_point,non_uniform,exclusive,0.1142543836089753,5000,71.78728920966387
roulette,two_point,triangle,additive,0.07374170463542501,5000,115.61483279522508
roulette,two_point,triangle,exclusive,0.13122532157671224,5000,116.36060689389706
roulette,uniform,gene,additive,0.09413228160308543,5000,74.57648839522153
roulette,uniform,gene,exclusive,0.12323875903761028,5000,73.41271202918142
roulette,uniform,multigene,additive,0.08420237517658265,5000,78.54029626306146
roulette,uniform,multigene,exclusive,0.1174062433622332,5000,77.08068674057722
roulette,uniform,non_uniform,additive,0.09359837806069773,5000,78.70930364076048
roulette,uniform,non_uniform,exclusive,0.12340626568342528,5000,77.42890266980976
roulette,uniform,triangle,additive,0.07934577639256557,5000,116.29474531766027
roulette,uniform,triangle,exclusive,0.12059999476224345,5000,114.75218750257045
roulette,region,gene,additive,0.10293573565341094,5000,80.34394087828696
roulette,region,gene,exclusive,0.13256400945780214,5000,79.19957698043436
roulette,region,multigene,additive,0.08671460231612337,5000,84.19457034114748
roulette,region,multigene,exclusive,0.11841914482992667,5000,82.74587775021791
roulette,region,non_uniform,additive,0.07960296209605806,5000,84.3896504715085
roulette,region,non_uniform,exclusive,0.11033979410098273,5000,83.08110255096108
roulette,region,triangle,additive,0.07855409574461392,5000,122.20816468819976
roulette,region,triangle,exclusive,0.14000876671027318,5000,120.90393927134573
